Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes
The Vast of Night,2019,93,109.656,Andrew Patterson,"Sierra McCormick, Jake Horowitz, Gail Cronauer, Bruce Davis","In the 1950s, two kids search for the source of a mysterious frequency that has descended on their town....",,Drama,6.7,84.0,91.0,37869.0
Charade,1963,94,98.965,Stanley Donen,"Cary Grant, Audrey Hepburn, Walter Matthau, James Coburn",After Regina Lampert (Audrey Hepburn) falls for the dashing Peter Joshua (Cary Grant) on a skiing holiday in the French...,13474929.0,Comedy,7.9,83.0,113.0,75950.0
Invisible Life,2019,94,99.37,Karim Aïnouz,"Carol Duarte, Julia Stockler, Gregório Duvivier, Flávia Gusmão","Kept apart by a terrible lie, years pass as two sisters forge their respective paths through their city's teeming bustle,...",,,,,,
It's a Wonderful Life,1946,94,104.18,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell","After George Bailey (James Stewart) wishes he had never been born, an angel (Henry Travers) is sent to earth to...",,Drama,8.6,89.0,130.0,444841.0
Fargo,1996,94,100.371,Joel Coen,"Frances McDormand, Steve Buscemi, William H. Macy, Peter Stormare","""Fargo"" is a reality-based crime drama set in Minnesota in 1987. Jerry Lundegaard (William H. Macy) is a car salesman...",51203925.0,Drama,8.9,,53.0,362235.0
Honey Boy,2019,95,108.747,Alma Har'el,"Shia LaBeouf, Lucas Hedges, Noah Jupe, Byron Bowers","When 12-year-old Otis begins to find success as a television star, his abusive, alcoholic father returns and takes over as...",3415542.0,Drama,7.2,73.0,94.0,36200.0
Gleason,2016,96,98.78,Clay Tweel,"Steve Gleason, Drew Brees, Mike McCready, Eddie Vedder","Diagnosed with ALS, former NFL football player Steve Gleason starts to record video journals for his unborn son....",587132.0,,,,,
Tangerine,2015,96,102.331,Sean Baker,"Kitana Kiki Rodriguez, Mya Taylor, Karren Karagulian, Mickey O'Hagan","After hearing that her boyfriend/pimp cheated on her while she was in jail, a hooker and her best friend set...",935900.0,Comedy,7.1,86.0,88.0,31479.0
A Hero,2021,96,104.859,Asghar Farhadi,"Amir Jadidi, Mohsen Tanabandeh, Fereshteh Sadre Orafaiy, Sarina Farhadi","Rahim (Amir Jadidi) is in prison because of a debt he was unable to repay. During a two-day leave, he...",,Drama,7.5,82.0,127.0,21013.0
The Salesman,2016,96,110.819,Asghar Farhadi,"Shahab Hosseini, Taraneh Alidoosti, Babak Karimi, Farid Sajjadi Hosseini","After their flat becomes damaged, Emad (Shahab Hosseini) and Rana (Taraneh Alidoosti), a young couple living in Tehran, Iran, must...",,,,,,
Love & Friendship,2016,96,109.612,Whit Stillman,"Kate Beckinsale, Xavier Samuel, Morfydd Clark, Emma Greenwell","In the 18th century, the seductive and manipulative Lady Susan (Kate Beckinsale) uses devious tactics to win the heart of...",23934375.0,Comedy,6.4,87.0,90.0,24730.0
Paterson,2016,96,115.118,Jim Jarmusch,"Adam Driver, Golshifteh Farahani, Barry Shabaka Henley, Cliff Smith","Paterson (Adam Driver) is a hardworking bus driver in Paterson, N.J., who follows the same routine every day. He observes...",10727536.0,Comedy,7.3,90.0,118.0,80099.0
Manchester by the Sea,2016,96,119.308,Kenneth Lonergan,"Casey Affleck, Michelle Williams, Kyle Chandler, Lucas Hedges","After the death of his older brother Joe, Lee Chandler (Casey Affleck) is shocked that Joe has made him sole...",77733867.0,Drama,7.8,96.0,137.0,274046.0
Sideways,2004,97,105.631,Alexander Payne,"Paul Giamatti, Thomas Haden Church, Virginia Madsen, Sandra Oh","Struggling writer and wine enthusiast Miles (Paul Giamatti) takes his engaged friend, Jack (Thomas Haden Church), on a trip to...",109726800.0,Comedy,7.5,94.0,127.0,189351.0
